context,question,correct_answer,answer_start
"Os tumultos de Stonewall foram uma série de manifestações espontâneas e violentas de membros da comunidade gay contra uma operação policial que ocorreu nas primeiras horas da manhã de 28 de junho de 1969, no Stonewall Inn, no bairro de Greenwich Village, em Lower Manhattan. Eles são amplamente considerados como o evento mais importante que leva ao movimento de libertação gay e à luta moderna pelos direitos LGBT nos Estados Unidos.",Os tumultos de Stonewall são nomeados após o edifício?,o Stonewall Inn,206
"A partir de 2010/2011, a Hauptschulen foi fundida com a Realschulen e a Gesamtschulen para formar um novo tipo de escola abrangente nos Estados alemães de Berlim e Hamburgo, chamada Stadtteilschule em Hamburgo e Sekundarschule em Berlim (consulte: Educação em Berlim, Educação em Hamburgo).",Qual foi a combinação de Hauptschulen com Realschulen e Gesamtschulen em Berlim?,Sekundarschule,212
"No entanto, a maioria das grandes equipes da FBS agenda anualmente jogos em casa, antes da época da pré-temporada, contra não-adversários, que são escolas de nível inferior da FBS, Campeonato de Futebol ou Divisão II, que geralmente resultam em vitórias desequilibradas em favor das equipes da FBS e agem como jogos de exibição, com exceção do nome, embora eles também ofereçam uma taxa de participação alta e pelo menos uma participação garantida na televisão para a escola menor. Esses jogos também recebem as mesmas críticas que os jogos de exibição da NFL, mas são voltados para escolas que agendam oponentes de baixa qualidade e a simplicidade de uma equipe aumentar a pontuação contra um oponente fraco. No entanto, esses jogos são suscetíveis a sair pela culatra, resultando em danos na posição da enquete e na percepção do público, especialmente se a equipe com classificação mais alta perde, embora o mero ato de agendar um oponente fraco seja prejudicial à força geral do cronograma da equipe. Os jogos que uma equipe da FBS agenda contra adversários da divisão inferior não contam para o mínimo de sete vitórias necessárias para a elegibilidade da taça, e apenas um jogo contra uma equipe do FCS pode ser contado. Com o início do sistema de Playoffs de Futebol Universitário para a temporada de 2014, as principais equipes agora são desencorajadas a agendar oponentes mais fracos para seus horários fora da conferência devido a uma ênfase muito maior na força do cronograma do que na era da Bowl Championship Series.",Por que escolas menores querem jogar contra as principais equipes da FBS?,uma taxa de participação alta e pelo menos uma participação garantida na televisão,378
"A ponte George Washington é a ponte de veículos a motor mais movimentada do mundo, conectando Manhattan ao condado de Bergen, Nova Jersey. A ponte Verrazano-Narrows é a maior ponte suspensa das Américas e uma das mais longas do mundo. A Ponte do Brooklyn é um ícone da própria cidade. As torres da Ponte do Brooklyn são construídas com calcário, granito e cimento Rosendale, e seu estilo arquitetônico é neogótico, com arcos pontiagudos característicos acima das passagens pelas torres de pedra. Essa ponte também foi a ponte suspensa mais longa do mundo, desde a sua abertura até 1903, e é a primeira ponte suspensa em fio de aço.","Começando em Manhattan, a ponte George Washington termina em que condado de Nova Jersey?",Bergen,118
"Com o início das cruzadas em 1095 e as expulsões da Inglaterra (1290), França (1394) e partes da Alemanha (século XV), a migração judaica avançou para o leste na Polônia (século 10), Lituânia (século 10) e Rússia (século XII). Durante esse período de várias centenas de anos, alguns sugeriram que a atividade econômica judaica se concentrou no comércio, administração de negócios e serviços financeiros, devido a vários fatores presumidos: proibições cristãs européias que restringem certas atividades dos judeus, impedindo certas atividades financeiras (como "" empréstimos ""usurários"") entre cristãos, altas taxas de alfabetização, educação quase universal para homens e capacidade dos comerciantes de confiar e confiar em membros da família que vivem em diferentes regiões e países.",Em que ano foram as expulsões da França?,1394,79
"O esporte mais popular de Londres é o futebol e possui quatorze clubes de futebol da liga, incluindo cinco na Premier League: Arsenal, Chelsea, Crystal Palace, Tottenham Hotspur e West Ham United. Entre outras equipes profissionais com sede em Londres incluem Fulham, Queens Park Rangers, Millwall e Charlton Athletic. Em maio de 2012, o Chelsea se tornou o primeiro clube de Londres a vencer a UEFA Champions League. Além do Arsenal, Chelsea e Tottenham, nenhum dos outros clubes de Londres já conquistou o título da liga nacional.","Além dos clubes de futebol Arsenal, Chelsea e Tottenham, quantos clubes de futebol de Londres ganharam um título nacional?",nenhum,456
"Em 1971, Akira Endo, bioquímico japonês que trabalha para a empresa farmacêutica Sankyo, identificou a mevastatina (ML-236B), uma molécula produzida pelo fungo Penicillium citrinum, como um inibidor da HMG-CoA redutase, uma enzima crítica usada pelo organismo para produzir colesterol. Os ensaios em animais mostraram um efeito inibitório muito bom como nos ensaios clínicos, no entanto, um estudo de longo prazo em cães encontrou efeitos tóxicos em doses mais altas e, como resultado, a mevastatina foi considerada tóxica demais para uso humano. A mevastatina nunca foi comercializada, devido aos efeitos adversos de tumores, deterioração muscular e, às vezes, morte em cães de laboratório.",Em que ano a mevastatina foi descoberta?,1971,3
"Em meados do século XIX, sérvio (liderado pelo escritor e folclorista autodidata Vuk Stefanović Karadžić) e a maioria dos escritores e lingüistas croatas (representados pelo movimento ilírio e liderados por Ljudevit Gaj e Daniuro Daničić) propuseram o uso do dialeto mais difundido, shtokaviano, como base para sua linguagem padrão comum. Karadžić padronizou o alfabeto cirílico sérvio, e Gaj e Daničić padronizaram o alfabeto latino croata, com base em fonemas de fala vernacular e no princípio da ortografia fonológica. Em 1850, escritores e linguistas sérvios e croatas assinaram o Acordo Literário de Viena, declarando sua intenção de criar um padrão unificado. Assim, apareceu uma complexa linguagem bi-variante, que os sérvios chamaram oficialmente de ""servo-croata"" ou ""sérvio ou croata"" e os croatas ""croata-sérvio"" ou ""croata ou sérvio"". No entanto, na prática, as variantes da linguagem literária comum concebida serviram como variantes literárias diferentes, diferindo principalmente no inventário lexical e nos dispositivos estilísticos. A frase comum que descreve essa situação era que servo-croata ou ""croata ou sérvio"" era um idioma único. Durante a ocupação austro-húngara da Bósnia e Herzegovina, o idioma das três nações foi chamado ""bósnio"" até a morte do administrador von Kállay em 1907, quando o nome foi alterado para ""servo-croata"".",Por que Shtokavian foi sugerido como uma base de linguagem comum?,dialeto mais difundido,259
"De acordo com a narrativa bíblica hebraica, a ancestralidade judaica remonta aos patriarcas bíblicos, como Abraão, Isaac e Jacó, e às matriarcas bíblicas Sarah, Rebecca, Leah e Rachel, que viveram em Canaã por volta do século XVIII AEC. Jacó e sua família migraram para o Egito Antigo depois de serem convidados a viver com o filho de Jacó, José, pelo próprio Faraó. Os descendentes dos patriarcas foram escravizados mais tarde até o Êxodo liderado por Moisés, tradicionalmente datado do século XIII aC, após o qual os israelitas conquistaram Canaã.",Quem era o filho de Jacob?,José,341
"Cada equipe é composta por no máximo onze jogadores (excluindo substitutos), um dos quais deve ser o goleiro. As regras da competição podem indicar um número mínimo de jogadores necessários para constituir uma equipe, que geralmente é sete. Os goleiros são os únicos jogadores autorizados a jogar a bola com as mãos ou os braços, desde que o façam na área de grande penalidade, diante de seu próprio gol. Embora existam várias posições em que os jogadores de fora-de-campo (não-goleiros) são estrategicamente posicionados por um treinador, essas posições não são definidas ou exigidas pelas Leis.",Qual é a quantidade máxima de jogadores permitida?,onze,37
"Madonna embarcou na Confessions Tour em maio de 2006, que teve uma audiência global de 1,2 milhão e arrecadou mais de US $ 193,7 milhões, tornando-se a turnê de maior bilheteria naquela época para uma artista feminina. Madonna símbolos religiosos usados, como o crucifixo e a Coroa de Espinhos, na performance de ""Live to Tell"". Isso fez com que a Igreja Ortodoxa Russa e a Federação das Comunidades Judaicas da Rússia instassem todos os seus membros a boicotar seu concerto. Ao mesmo tempo, a Federação Internacional da Indústria Fonográfica (IFPI) anunciou oficialmente que Madonna havia vendido mais de 200 milhões de cópias apenas para seus álbuns em todo o mundo.",Por que a Igreja Ortodoxa Russa e a Federação das Comunidades Judaicas da Rússia pediram aos membros que boicotassem o show?,símbolos religiosos usados,227
"A Lei de Licenciamento de 2003, que entrou em vigor em 24 de novembro de 2005, consolidou as muitas leis em uma única lei. Isso permitiu que os pubs da Inglaterra e do País de Gales se candidatassem ao conselho local para o horário de funcionamento de sua escolha. Argumentou-se que isso acabaria com a concentração de violência por volta das 23h30, quando as pessoas teriam que sair do pub, facilitando o policiamento. Na prática, as internações hospitalares relacionadas ao álcool aumentaram após a mudança na lei, com o álcool envolvido em 207.800 internações em 2006/7. Os críticos alegaram que essas leis levariam a ""beber 24 horas"". Quando a lei entrou em vigor, 60.326 estabelecimentos haviam solicitado mais horas e 1.121 haviam solicitado uma licença para vender álcool 24 horas por dia. No entanto, nove meses depois, muitos bares não mudaram seu horário, embora alguns tenham ficado abertos por mais tempo no fim de semana, mas raramente além da 1:00 da manhã.",Quantos bares solicitam permissão para vender álcool 24 horas por dia?,1.121,724
"Em 1634, o imperador mogol estendeu sua hospitalidade aos comerciantes ingleses na região de Bengala e em 1717 renunciou completamente aos impostos alfandegários para o comércio. O principal negócio da empresa era então algodão, seda, corante índigo, salitre e chá. Os holandeses eram concorrentes agressivos e, enquanto isso, expandiram seu monopólio do comércio de especiarias no estreito de Malaca, expulsando os portugueses de 1640 a 1641. Com influência portuguesa e espanhola reduzida na região, a EIC e a Companhia Holandesa das Índias Orientais (VOC) entraram em um período de intensa competição, resultando nas guerras anglo-holandesas dos séculos XVII e XVIII.","Qual a importância do algodão, seda, corante índigo, salitre e chá para a empresa?",O principal negócio da empresa,179
"A maioria dos ácidos graxos não é essencial, o que significa que o corpo pode produzi-los conforme necessário, geralmente a partir de outros ácidos graxos e sempre gastando energia para fazê-lo. No entanto, em humanos, pelo menos dois ácidos graxos são essenciais e devem ser incluídos na dieta. Um equilíbrio adequado de ácidos graxos essenciais - ácidos graxos ômega-3 e ômega-6 - também parece importante para a saúde, embora a demonstração experimental definitiva tenha sido ilusória. Ambos os ácidos graxos poliinsaturados ""ômega"" de cadeia longa são substratos para uma classe de eicosanóides conhecidos como prostaglandinas, que desempenham papéis em todo o corpo humano. Eles são hormônios, em alguns aspectos. O ácido ômega-3 eicosapentaenóico (EPA), que pode ser produzido no corpo humano a partir do ácido graxo essencial ômega-3, ácido alfa-linolênico (ALA), ou ingerido através de fontes alimentares marinhas, serve como um bloco de construção para a série 3 prostaglandinas (por exemplo, PGE3 fracamente inflamatória). O ácido ômega-6 di-homo-gama-linolênico (DGLA) serve como um bloco de construção das prostaglandinas da série 1 (por exemplo, PGE1 anti-inflamatória), enquanto o ácido araquidônico (AA) serve como um bloco de construção das prostaglandinas da série 2 (por exemplo, pró-inflamatórias PGE 2). O DGLA e o AA podem ser produzidos a partir do ácido ômega-6 linoléico (LA) no corpo humano ou podem ser ingeridos diretamente através dos alimentos. Uma ingestão adequadamente equilibrada de ômega-3 e ômega-6 determina parcialmente a produção relativa de diferentes prostaglandinas, que é uma das razões pelas quais se considera importante o equilíbrio entre ômega-3 e ômega-6 para a saúde cardiovascular. Nas sociedades industrializadas, as pessoas geralmente consomem grandes quantidades de óleos vegetais processados, que reduzem quantidades de ácidos graxos essenciais, juntamente com excesso de ácidos graxos ômega-6 em relação aos ácidos graxos ômega-3.",O que as pessoas consomem com quantidades baixas dos ácidos graxos essenciais necessários?,óleos vegetais processados,1818
"Entre 1948 e 1958, a população judaica aumentou de 800.000 para dois milhões. Atualmente, os judeus representam 75,4% da população israelense, ou 6 milhões de pessoas. Os primeiros anos do Estado de Israel foram marcados pela imigração em massa de sobreviventes do Holocausto após o Holocausto e por judeus fugindo de terras árabes. Israel também tem uma grande população de judeus etíopes, muitos dos quais foram transportados de avião para Israel no final dos anos 80 e início dos anos 90. Entre 1974 e 1979, quase 227.258 imigrantes chegaram a Israel, cerca de metade da União Soviética. Este período também viu um aumento na imigração para Israel da Europa Ocidental, América Latina e América do Norte.",Qual é a população de Israel?,6 milhões,146
"Quando o GHMC foi criado em 2007, a área ocupada pelo município aumentou de 175 km2 (68 milhas quadradas) para 650 km2 (250 milhas quadradas). Consequentemente, a população aumentou 87%, de 3.637.483 no censo de 2001 para 6.809.970 no censo de 2011, 24% dos quais são migrantes de outros lugares da Índia: 2, tornando Hyderabad a quarta cidade mais populosa do país. A partir de 2011 [atualização], a densidade populacional é de 18.480 / km2 (47.900 / sq mi). No mesmo censo de 2011, a Aglomeração Urbana de Hyderabad tinha uma população de 7.749.334 habitantes, tornando-a a sexta aglomeração urbana mais populosa do país. A população da aglomeração urbana de Hyderabad foi estimada pelos funcionários eleitorais em 9,1 milhões desde o início de 2013, mas espera-se que ultrapasse 10 milhões até o final do ano. Existem 3.500.802 cidadãos do sexo masculino e 3.309.168 do sexo feminino - uma proporção sexual de 945 mulheres por 1.000 homens, superior à média nacional de 926 por 1000. Entre as crianças de 0 a 6 anos, 373.794 são meninos e 352.022 são meninas - uma proporção de 942 por 1000. A alfabetização é de 82,96% (masculino, 85,96%; feminino, 79,79%), superior à média nacional de 74,04%. Os estratos socioeconômicos consistem em 20% da classe alta, 50% da classe média e 30% da classe trabalhadora.",Quantas mulheres estavam em Hyderabad para o censo de 2011?,3.309.168,860
"O século 10 viu uma migração em massa de tribos turcas da Ásia Central para o platô iraniano. Tribos turcas foram usadas pela primeira vez no exército abássida como mamluks (guerreiros escravos), substituindo elementos iranianos e árabes dentro do exército. Como resultado, os mamluks ganharam um poder político significativo. Em 999, grande parte do Irã ficou brevemente sob o domínio dos Ghaznavids, cujos governantes eram de origem turca mamluk, e mais tarde posteriormente sob os impérios turco seljúcida e khwarezmiano. Esses turcos haviam sido persianizados e adotaram modelos persas de administração e governo. Os Seljuks posteriormente deram origem ao Sultanato de Rum na Anatólia, enquanto levavam consigo sua identidade completamente persa. O resultado da adoção e patrocínio da cultura persa pelos governantes turcos foi o desenvolvimento de uma tradição turco-persa distinta.",Que tribos migraram em massa para o platô iraniano no século X?,Tribos turcas,94
"O fracasso dos partidos democráticos em impedir o fascismo de assumir a política austríaca nas décadas de 1920 e 1930 traumatizou Popper. Ele sofreu as conseqüências diretas desse fracasso, uma vez que os eventos após o Anschluss, a anexação da Áustria pelo Reich alemão em 1938, o forçaram ao exílio permanente. Seus trabalhos mais importantes no campo das ciências sociais - A Pobreza do Historicismo (1944) e A Sociedade Aberta e Seus Inimigos (1945) - foram inspirados por sua reflexão sobre os acontecimentos de seu tempo e representaram, de certo modo, uma reação a as ideologias totalitárias predominantes que então dominavam a política da Europa Central. Seus livros defendiam o liberalismo democrático como uma filosofia social e política. Eles também representavam extensas críticas aos pressupostos filosóficos subjacentes a todas as formas de totalitarismo.",Qual foi o Anschluss?,a anexação da Áustria pelo Reich alemão,231
"Frédéric François Chopin (/ ˈʃoʊpæn /; pronúncia francesa: [fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]); 22 de fevereiro ou 1 de março de 1810 - 17 de outubro de 1849), nascido Fryderyk Franciszek Chopin, [n 1] era polonês e compositor francês (por nacionalidade e nascimento do pai) e um virtuoso pianista da era romântica, que escreveu principalmente para o piano solo. Ele ganhou e manteve a fama mundial como um dos principais músicos de sua época, cujo ""gênio poético se baseou em uma técnica profissional que era sem igual em sua geração"". Chopin nasceu no então ducado de Varsóvia e cresceu em Varsóvia, que depois de 1815 se tornou parte do Congresso da Polônia. Criança prodígio, completou sua educação musical e compôs seus trabalhos anteriores em Varsóvia antes de deixar a Polônia aos 20 anos, menos de um mês antes do início da Revolta de novembro de 1830.",Em que época Frédéric estava ativo?,era romântica,295
"Além do Festival de Jazz (descrito acima), New Haven serve como cidade natal do Festival Internacional de Artes e Ideias. O desfile do Dia de São Patrício de New Haven, que começou em 1842, é o desfile do Dia de São Patrício mais antigo da Nova Inglaterra e atrai as maiores multidões de qualquer evento de um dia em Connecticut. O Festival Italiano de Santo André, o Apóstolo, acontece todos os anos no bairro histórico de Wooster Square, desde 1900. Outras paróquias da cidade celebram a Festa de Santo Antônio de Pádua e um carnaval em homenagem a Santa Bernadette Soubirous. New Haven celebra o Dia da Casa da Pólvora todo mês de abril no New Haven Green para comemorar a entrada da cidade na Guerra Revolucionária. O Festival anual Wooster Square Cherry Blossom comemora em 1973 o plantio de 72 árvores Yoshino Japanese Cherry Blossom pela Comissão Histórica de New Haven em colaboração com o Departamento de Parques de New Haven e os moradores do bairro. O Festival atrai agora mais de 5.000 visitantes. O Film Fest New Haven acontece anualmente desde 1995.","Como uma das maiores e mais antigas tradições, há quanto tempo a cidade celebra o Dia de São Patrício?",1842,184
"A diversidade agrícola também pode ser dividida pela diversidade ""planejada"" ou ""associada"". Essa é uma classificação funcional que impomos e não uma característica intrínseca da vida ou da diversidade. A diversidade planejada inclui as culturas que um agricultor incentivou, plantou ou cultivou (por exemplo: culturas, coberturas, simbiontes e gado, entre outros), que podem ser contrastadas com a diversidade associada que chega entre as culturas, sem ser convidada (por exemplo: herbívoros, ervas daninhas) espécies e patógenos, entre outros).",Que tipo de diversidade inclui herbívoros e patógenos?,diversidade associada,399
"O San Diego Surf da American Basketball Association está localizado na cidade. O torneio anual de golfe Farmers Insurance Open (anteriormente o Buick Invitational) no PGA Tour ocorre no Campo de golfe Torrey Pines. Este curso também foi o local do Campeonato de Golfe Aberto dos EUA em 2008. O San Diego Yacht Club sediou as regatas da America's Cup três vezes durante o período de 1988 a 1995. O esporte amador de praia Over-the-line foi inventado em San Diego, e o campeonato mundial anual de Over-the-line é realizado em Mission Bay todo ano.",Qual campo de golfe abriga o Farmers Insurance Open?,Campo de golfe Torrey Pines,186
"Desenhado por Masayuki Uemura, o criador do Famicom original, o Super Famicom foi lançado no Japão na quarta-feira, 21 de novembro de 1990 por ¥ 25.000 (US $ 210). Foi um sucesso instantâneo; O carregamento inicial da Nintendo de 300.000 unidades esgotou em poucas horas e o distúrbio social resultante levou o governo japonês a pedir aos fabricantes de videogames que agendassem futuros lançamentos de console nos finais de semana. O lançamento do sistema também chamou a atenção da Yakuza, levando a uma decisão de enviar os dispositivos à noite para evitar roubos.",Que grupo criminoso conspirou para roubar Super Famicoms?,Yakuza,484
"A presença da Universidade da Califórnia, San Diego e outras instituições de pesquisa ajudou a impulsionar o crescimento da biotecnologia. Em 2013, San Diego possui o segundo maior cluster de biotecnologia dos Estados Unidos, abaixo da área de Boston e acima da área da baía de San Francisco. Existem mais de 400 empresas de biotecnologia na área. Em particular, as áreas de La Jolla e nas proximidades de Sorrento Valley abrigam escritórios e instalações de pesquisa para inúmeras empresas de biotecnologia. As principais empresas de biotecnologia, como Illumina e Neurocrine Biosciences, estão sediadas em San Diego, enquanto muitas empresas de biotecnologia e farmacêutica têm escritórios ou instalações de pesquisa em San Diego. San Diego também abriga mais de 140 organizações de pesquisa contratadas (CROs) que fornecem uma variedade de serviços contratuais para empresas farmacêuticas e de biotecnologia.",Que instituição contribuiu para o crescimento da biotecnologia de combustíveis?,Universidade da Califórnia,14
"Apesar da forte resistência do lobby das Índias Orientais no parlamento e dos acionistas da Companhia, a Lei foi aprovada. Introduziu um controle governamental substancial e permitiu que a Índia britânica estivesse formalmente sob o controle da Coroa, mas alugou de volta a Companhia em £ 40.000 por dois anos. Sob a disposição mais importante da lei, um Conselho do governo composto por cinco membros foi criado em Calcutá. Os três membros nomeados pelo Parlamento e representando o interesse do Governo poderiam e invariavelmente superariam os dois membros da Companhia. O Conselho foi chefiado por Warren Hastings, o governador em exercício, que se tornou o primeiro governador geral de Bengala, com uma autoridade mal definida sobre as presidências de Bombaim e Madras. Sua indicação, feita pelo Tribunal de Administração, estará sujeita à aprovação de um Conselho de Quatro nomeados pela Coroa. Inicialmente, o Conselho consistia no tenente-general Sir John Clavering, no honorável Sir George Monson, Sir Richard Barwell e Sir Philip Francis.",A EIC foi arrendada de volta às terras que possuíam na Índia britânica por qual parte do governo britânico?,Parlamento,455
"1 Porta-aviões CATOBAR: Charles de Gaulle é um porta-aviões movido a energia nuclear de 42.000 toneladas, encomendado em 2001 e é o carro-chefe da Marinha Francesa (Marine Nationale). O navio possui um complemento de aeronaves Dassault-Breguet Super Étendard, Dassault Rafale M e E-2C Hawkeye, helicópteros EC725 Caracal e AS532 Cougar para busca e salvamento em combate, bem como eletrônicos modernos e mísseis Áster. É um transportador do tipo CATOBAR que usa duas catapultas a vapor de 75 m C13‑3 de uma versão mais curta do sistema de catapultas instaladas nos transportadores da classe Nimitz dos EUA, uma catapulta na proa e outra na frente da área de pouso.",Que tipo de mísseis o Charles de Gaulle carrega?,Áster,412
"A 187th Street atravessa Washington Heights e vai de Laurel Hill Terrace, a leste, até a Chittenden Avenue, a oeste, perto da ponte George Washington e do rio Hudson. A rua é interrompida por um longo conjunto de escadas a leste da Fort Washington Avenue, que leva ao vale da Broadway. A oeste de lá, é principalmente alinhada com as fachadas das lojas e serve como o principal distrito comercial do bairro Hudson Heights.","A 187th Street vai de Laurel Hill Terrace, no leste, para qual avenida no oeste?",Chittenden Avenue,89
"Como é evidente em seus decretos imperiais, o Imperador Hongwu estava bem ciente do vínculo budista entre o Tibete e a China e queria promovê-lo. Rolpe Dorje, 4º Karmapa Lama (1340–1383) rejeitou o convite do Imperador Hongwu, embora tenha enviado alguns discípulos como enviados à corte em Nanjing. O imperador de Hongwu também confiou seu guru Zongluo, um dos muitos monges budistas da corte, a liderar uma missão religiosa no Tibete entre 1378 e 1382, a fim de obter textos budistas.",Quem foi o quarto Karmapa Lama?,Rolpe Dorje,146
