model,strategy,prompt,accuracy,f1
gemma:2b,few-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.42,0.5735294117647058
gemma:2b,few-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.39,0.5343511450381679
gemma:2b,few-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.23,0.3418803418803419
gemma:2b,few-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.29,0.297029702970297
gemma:2b,few-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.19,0.24299065420560748
gemma:2b,few-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.2,0.2
gemma:2b,few-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.14,0.14
gemma:2b,few-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.13,0.06451612903225806
gemma:2b,few-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.06,0.04081632653061224
gemma:2b,few-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e o contexto apresentado.",0.51,0.6666666666666666
gemma:2b,cot,"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, levando em conta os aspectos e emoções destacados na crítica.",0.81,0.8288288288288288
gemma:2b,cot,"Classifique o sentimento da opinião sobre o filme, determinando se é positivo ou negativo, levando em conta os elementos e emoções expressos na crítica.",0.79,0.8141592920353983
gemma:2b,cot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.79,0.8108108108108109
gemma:2b,cot,"Classifique o sentimento da opinião expressa sobre o filme como positiva ou negativa, considerando os aspectos mencionados na crítica.",0.8,0.803921568627451
gemma:2b,cot,"Analise a opinião sobre o filme e classifique seu sentimento como positivo ou negativo, levando em consideração os aspectos e emoções expressos na crítica.",0.74,0.7868852459016393
gemma:2b,cot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.78,0.7755102040816326
gemma:2b,cot,"Analise a opinião expressa sobre o filme e determine se o sentimento é positivo ou negativo, levando em conta os pontos destacados na crítica.",0.73,0.773109243697479
gemma:2b,cot,"Analise o sentimento da crítica apresentada e classifique-a como positiva ou negativa, levando em conta os principais pontos abordados pelo autor.",0.73,0.7610619469026548
gemma:2b,cot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.71,0.7603305785123967
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.71,0.7563025210084033
gemma:2b,cot,"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, justificando sua escolha.",0.67,0.7401574803149606
gemma:2b,cot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.67,0.736
gemma:2b,cot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.61,0.7194244604316546
gemma:2b,cot,"Classifique o sentimento da opinião expressa, indicando se é positiva ou negativa, levando em conta os principais pontos abordados na crítica.",0.61,0.7111111111111111
gemma:2b,cot,"Classifique o sentimento da opinião a seguir, indicando se ele é positivo ou negativo em relação ao filme.",0.61,0.7022900763358778
gemma:2b,cot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.6,0.6721311475409836
gemma:2b,cot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.54,0.6714285714285714
gemma:2b,cot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.5,0.5833333333333334
gemma:2b,cot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.31,0.3783783783783784
gemma:2b,cot,"Analise a crítica sobre o filme e classifique o sentimento como positivo ou negativo, considerando os sentimentos e opiniões expressos ao longo do texto.",0.78,0.7962962962962963
